
     Program AVERAGE v.5.1 starts on 18Jun2018 at 16: 3:20 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on     1 processors
     Reading header from file  Au_tmp.pp

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1s, nr2s, nr3s values from input

     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum         649     313     97               100611    35335    5899
     Tot         325     157     49

     Reading data from file  Au_tmp.pp
    0.998253167    0.139617030   -0.228800109
    1.011743075    0.153719731   -0.216221065
    1.025232983    0.167479208   -0.203695828
    1.038722890    0.180900905   -0.191229309
    1.052212798    0.193990497   -0.178826391
    1.065702706    0.206753860   -0.166491924
    1.079192613    0.219197034   -0.154230722
    1.092682521    0.231326184   -0.142047561
    1.106172429    0.243147564   -0.129947174
    1.119662336    0.254667482   -0.117934248
    1.133152244    0.265892257   -0.106013423
    1.146642152    0.276828187   -0.094189286
    1.160132059    0.287481516   -0.082466370
    1.173621967    0.297858396   -0.070849149
    1.187111875    0.307964862   -0.059342038
    1.200601782    0.317806807   -0.047949391
    1.214091690    0.327389951   -0.036675492
    1.227581598    0.336719831   -0.025524562
    1.241071505    0.345801780   -0.014500749
    1.254561413    0.354640921   -0.003608130
    1.268051321    0.363242156    0.007149290
    1.281541228    0.371610165    0.017767584
    1.295031136    0.379749412    0.028242899
    1.308521044    0.387664145    0.038571461
    1.322010951    0.395358404    0.048749575
    1.335500859    0.402836038    0.058773624
    1.348990767    0.410100715    0.068640073
    1.362480674    0.417155934    0.078345467
    1.375970582    0.424005047    0.087886430
    1.389460490    0.430651270    0.097259668
    1.402950397    0.437097703    0.106461968
    1.416440305    0.443347341    0.115490196
    1.429930213    0.449403092    0.124341300
    1.443420120    0.455267785    0.133012306
    1.456910028    0.460944184    0.141500320
    1.470399936    0.466434993    0.149802526
    1.483889843    0.471742866    0.157916186
    1.497379751    0.476870403    0.165838642
    1.510869659    0.481820160    0.173567309
    1.524359566    0.486594642    0.181099681
    1.537849474    0.491196305    0.188433328
    1.551339382    0.495627548    0.195565893
    1.564829289    0.499890714    0.202495098
    1.578319197    0.503988079    0.209218736
    1.591809105    0.507921849    0.215734675
    1.605299012    0.511694159    0.222040859
    1.618788920    0.515307060    0.228135304
    1.632278828    0.518762521    0.234016100
    1.645768735    0.522062426    0.239681410
    1.659258643    0.525208567    0.245129472
    1.672748551    0.528202650    0.250358594
    1.686238458    0.531046291    0.255367160
    1.699728366    0.533741019    0.260153626
